Weapon Class,Weapon,1h R1 1,1h R1 2,1h R1 3,1h R1 4,1h R1 5,1h R1 6,1h R2 1,1h R2 2,1h Charged R2 1,1h Charged R2 2,1h Running R1,1h Running R2,1h Rolling R1,1h Backstep R1,1h Jumping R1,1h Jumping R2,1h Guard Counter,2h R1 1,2h R1 2,2h R1 3,2h R1 4,2h R1 5,2h R1 6,2h R2 1,2h R2 2,2h Charged R2 1,2h Charged R2 2,2h Running R1,2h Running R2,2h Rolling R1,2h Backstep R1,2h Jumping R1,2h Jumping R2,2h Guard Counter,Offhand R1 1,Offhand R1 2,Offhand R1 3,Offhand R1 4,Offhand R1 5,Offhand R1 6,BS Whiff,Backstab,Riposte,Backstab (Small PvE),Riposte (Small PvE),Riposte (Large PvE),Shieldpoke,1h Charged R2 1 Feint,1h Charged R2 2 Feint,2h Charged R2 1 Feint,2h Charged R2 2 Feint,Paired L1 1,Paired L1 2,Paired L1 3,Paired L1 4,Paired L1 5,Paired L1 6,Paired Running L1,Paired Rolling L1,Paired Backstep L1,Paired Jumping L1,,Mounted R1 1,Mounted R1 2,Mounted R1 3,Mounted R2,Mounted R2 Charging,Mounted Charged R2,Mounted L1 1,Mounted L1 2,Mounted L1 3,Mounted L2,Mounted L2 Charging,Mounted Charged L2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagger,Dagger,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Parrying Dagger,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Miséricorde,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Great Knife,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Bloodstained Dagger,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Erdsteel Dagger,Slash,Slash,Slash,Slash,Slash,Slash,Slash + Slash,Slash + Slash,Slash + Slash,Slash + Slash + Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash + Slash,Slash + Slash,Slash + Slash,Slash + Slash + Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Fire Knight's Shortsword,Slash,Slash,Slash,Slash,Slash,Slash,Slash + Slash,Slash + Slash,Slash + Slash,Slash + Slash + Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash + Slash,Slash + Slash,Slash + Slash,Slash + Slash + Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Wakizashi,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash (Slash w/Katana),Slash + Slash (Slash w/Katana),Slash + Pierce (Slash w/Katana),Slash + Slash (Slash w/Katana),,,Slash + Slash (Slash w/Katana),Slash + Slash (Slash w/Katana),Pierce + Slash (Slash w/Katana),Slash + Slash (Slash w/Katana),,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Main-gauche,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Pierce + Pierce,Pierce + Pierce + Pierce,Standard + Pierce,Pierce + Pierce + Pierce,,,Pierce + Pierce,Pierce + Pierce,Standard + Standard,Standard + Pierce + Pierce,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Celebrant's Sickle,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Ivory Sickle,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Crystal Knife,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Scorpion's Stinger,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Cinquedea,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Glintstone Kris,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Pierce,Pierce + Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
