Weapon Class,Weapon,1h R1 1,1h R1 2,1h R1 3,1h R1 4,1h R1 5,1h R1 6,1h R2 1,1h R2 2,1h Charged R2 1,1h Charged R2 2,1h Running R1,1h Running R2,1h Rolling R1,1h Backstep R1,1h Jumping R1,1h Jumping R2,1h Guard Counter,2h R1 1,2h R1 2,2h R1 3,2h R1 4,2h R1 5,2h R1 6,2h R2 1,2h R2 2,2h Charged R2 1,2h Charged R2 2,2h Running R1,2h Running R2,2h Rolling R1,2h Backstep R1,2h Jumping R1,2h Jumping R2,2h Guard Counter,Offhand R1 1,Offhand R1 2,Offhand R1 3,Offhand R1 4,Offhand R1 5,Offhand R1 6,BS Whiff,Backstab,Riposte,Backstab (Small PvE),Riposte (Small PvE),Riposte (Large PvE),Shieldpoke,1h Charged R2 1 Feint,1h Charged R2 2 Feint,2h Charged R2 1 Feint,2h Charged R2 2 Feint,Paired L1 1,Paired L1 2,Paired L1 3,Paired L1 4,Paired L1 5,Paired L1 6,Paired Running L1,Paired Rolling L1,Paired Backstep L1,Paired Jumping L1,,Mounted R1 1,Mounted R1 2,Mounted R1 3,Mounted R2,Mounted R2 Charging,Mounted Charged R2,Mounted L1 1,Mounted L1 2,Mounted L1 3,Mounted L2,Mounted L2 Charging,Mounted Charged L2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagger,Dagger,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Parrying Dagger,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Miséricorde,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Great Knife,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Bloodstained Dagger,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Erdsteel Dagger,40.5,63,63,63,63,126,72 + 72,72 + 72,180 + 360,135 + 135 + 270,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,79.2 + 79.2,79.2 + 79.2,198 + 396,148.5 + 148.5 + 297,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Fire Knight's Shortsword,40.5,63,63,63,63,126,72 + 72,72 + 72,180 + 360,135 + 135 + 270,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,79.2 + 79.2,79.2 + 79.2,198 + 396,148.5 + 148.5 + 297,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Wakizashi,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,21.6 + 76.8 (43.2 w/Katana),21.6 + 76.8 (153.6 w/Katana),21.6 + 76.8 (43.2 w/Katana),45 + 45 (90 w/Katana),,,21.6 + 76.8 (153.6 w/Katana),27 + 27 (54 w/Katana),43.2 + 38.4 (76.8 w/Katana),153 + 153 (306 w/Katana),,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Main-gauche,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,81.36 + 20.34,20.34 + 81.36 + 81.36,81.36 + 20.34,162.72 + 20.34 + 162.72,,,20.34 + 81.36,81.36 + 20.34,162.72 + 40.68,97.5 + 97.5 + 97.5,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Celebrant's Sickle,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Ivory Sickle,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
Dagger,Crystal Knife,40.5,63,63,63,63,126,144,144,540,540,40.5,81,40.5,40.5,60.75,360,540,52.65,81.9,81.9,81.9,81.9,163.8,158.4,158.4,594,594,52.65,89.1,52.65,52.65,78.975,396,594,40.5,63,63,63,63,126,40.5,0,0,0,0,0,,,,,,32.4 + 57.6 + 57.6,32.4 + 57.6,32.4 + 57.6,21.6 + 96 + 96,,,32.4 + 57.6,27 + 27,27 + 27,153 + 153,,40.5,40.5,40.5,81,20.25,243,40.5,40.5,40.5,81,20.25,243
